"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"TMEM189-UBE2V1";32,9;21,4;2,4;8,88;6,5e-19;1,49e-14;2,16e-14;18,2
"IGHM";156000;-2,78;0,44;-6,31;2,86e-10;3,28e-06;4,74e-06;9,54
"SPIB";411;-3,73;0,631;-5,91;3,47e-09;2,66e-05;3,84e-05;8,46
"SMIM11B";234;3,66;0,626;5,84;5,07e-09;2,91e-05;4,21e-05;8,29
"FCAMR";30,8;-4,17;0,75;-5,56;2,77e-08;0,000127;0,000183;7,56
"SPOCK2";695;-1,77;0,327;-5,42;6,12e-08;0,000178;0,000256;7,21
"CD37";1020;-1,83;0,339;-5,41;6,23e-08;0,000178;0,000256;7,21
"MTRNR2L1";11,5;-7,18;1,33;-5,4;6,7e-08;0,000178;0,000256;7,17
"FCER2";103;-3,3;0,612;-5,39;6,96e-08;0,000178;0,000256;7,16
"CR2";242;-3,12;0,581;-5,37;7,99e-08;0,000184;0,000265;7,1
"PTGDS";1870;-3,29;0,615;-5,34;9,05e-08;0,000189;0,000273;7,04
"TCL1A";60,4;-5,82;1,09;-5,32;1,03e-07;0,000198;0,000286;6,99
"LTB";873;-2,98;0,563;-5,29;1,22e-07;0,000204;0,000295;6,92
"CD52";1240;-2,77;0,523;-5,29;1,25e-07;0,000204;0,000295;6,9
"LIMD2";1090;-2,01;0,383;-5,25;1,56e-07;0,000238;0,000344;6,81
"COTL1";1670;-1,83;0,349;-5,23;1,72e-07;0,000247;0,000357;6,76
"PDCD1";122;-1,95;0,381;-5,11;3,14e-07;0,000406;0,000586;6,5
"PLA2G2D";279;-2,56;0,501;-5,11;3,18e-07;0,000406;0,000586;6,5
"NPHS1";18,8;-3,69;0,734;-5,03;4,96e-07;0,000599;0,000865;6,3
"IGKV1-12";12600;-2,34;0,469;-4,98;6,28e-07;0,000713;0,00103;6,2
"CCR7";194;-2,21;0,444;-4,97;6,65e-07;0,000713;0,00103;6,18
"PAX5";195;-3,47;0,698;-4,97;6,83e-07;0,000713;0,00103;6,17
"SLAMF8";254;-1,82;0,372;-4,9;9,39e-07;0,000938;0,00135;6,03
"NPIPB8";9,28;6,33;1,3;4,88;1,06e-06;0,00101;0,00146;5,98
"RASGRP2";339;-1,92;0,395;-4,86;1,17e-06;0,00101;0,00146;5,93
"LBH";1450;-1,21;0,248;-4,86;1,18e-06;0,00101;0,00146;5,93
"ALAS2";18,2;-4,04;0,832;-4,86;1,19e-06;0,00101;0,00146;5,92
"CD7";152;-2,1;0,434;-4,85;1,24e-06;0,00101;0,00147;5,91
"TRBC2";964;-2,19;0,456;-4,81;1,53e-06;0,00119;0,00172;5,82
"LAPTM5";2170;-1,26;0,263;-4,8;1,55e-06;0,00119;0,00172;5,81
"CORO1A";2490;-1,92;0,401;-4,8;1,61e-06;0,00119;0,00172;5,79
